timestamp,game,24H,Week,Month,RTP
2025-11-08 14:20:26.860,Sweet Bonanza 1000,87.92,82.62,95.77,96.53
2025-11-08 14:32:00.848,Sweet Bonanza 1000,87.92,82.62,95.77,96.53
2025-11-08 14:53:28.734,Sweet Bonanza 1000,87.91,82.62,95.77,96.53
2025-11-08 15:02:51.294,Sweet Bonanza 1000,87.67,82.61,95.77,96.53
2025-11-08 15:12:55.101,Sweet Bonanza 1000,87.67,82.61,95.77,96.53
2025-11-08 15:22:47.281,Sweet Bonanza 1000,87.67,82.61,95.77,96.53
2025-11-08 15:33:01.055,Sweet Bonanza 1000,87.66,82.61,95.76,96.53
2025-11-08 15:53:48.475,Sweet Bonanza 1000,87.62,82.6,95.76,96.53
2025-11-08 15:56:56.815,Sweet Bonanza 1000,87.62,82.6,95.76,96.53
2025-11-08 16:04:49.548,Sweet Bonanza 1000,89.57,82.61,95.8,96.53
2025-11-08 16:14:47.236,Sweet Bonanza 1000,89.63,82.63,95.81,96.53
2025-11-08 16:24:50.266,Sweet Bonanza 1000,89.61,82.62,95.81,96.53
2025-11-08 16:34:45.428,Sweet Bonanza 1000,89.58,82.62,95.81,96.53
2025-11-08 19:16:32.782,Sweet Bonanza 1000,89.72,82.81,95.9,96.53
2025-11-08 19:29:11.974,Sweet Bonanza 1000,89.7,82.8,95.9,96.53
